"","year","vegetation_code","area_ha","vegetation_class","area_ha_available","area_ha_burned","area_ha_annual","proportion_burned_annual","burn_distribution"
"1",1999,2,1766.96842864666,"Subalpine forest",800760.797027474,26508.5319172822,9730.53514245129,0.00220661205594214,0.181590056741888
"2",2000,2,216.796921982872,"Subalpine forest",800760.797027474,26508.5319172822,991.507207091774,0.000270738680998932,0.218653904310758
"3",2001,2,0,"Subalpine forest",800760.797027474,26508.5319172822,17.0233689489065,0,0
"4",2002,2,2361.46944624892,"Subalpine forest",800760.797027474,26508.5319172822,7110.35944678443,0.00294903228906185,0.332116746547443
"5",2003,2,9.93957069319964,"Subalpine forest",800760.797027474,26508.5319172822,167.011017713672,1.24126589739365e-05,0.0595144609575416
"6",2004,2,216.206835118367,"Subalpine forest",800760.797027474,26508.5319172822,1657.21981350995,0.000270001773214866,0.130463583259029
"7",2005,2,0,"Subalpine forest",800760.797027474,26508.5319172822,1132.12768351955,0,0
"8",2006,2,0,"Subalpine forest",800760.797027474,26508.5319172822,5845.34100615013,0,0
"9",2007,2,0,"Subalpine forest",800760.797027474,26508.5319172822,23.2092569547019,0,0
"10",2008,2,1984.63438421045,"Subalpine forest",800760.797027474,26508.5319172822,6853.09347829846,0.00247843599683909,0.289596864612331
"11",2009,2,96.2317442660779,"Subalpine forest",800760.797027474,26508.5319172822,2613.06144766781,0.000120175393979454,0.0368272029545903
"12",2010,2,0,"Subalpine forest",800760.797027474,26508.5319172822,36.5082640343808,0,0
"13",2011,2,0,"Subalpine forest",800760.797027474,26508.5319172822,985.120641628406,0,0
"14",2012,2,86.7250236831471,"Subalpine forest",800760.797027474,26508.5319172822,3992.96274202192,0.000108303283583664,0.0217194672944111
"15",2013,2,31.2026991607674,"Subalpine forest",800760.797027474,26508.5319172822,142.424305083999,3.89663171281559e-05,0.219082684955806
"16",2014,2,160.999112497071,"Subalpine forest",800760.797027474,26508.5319172822,5154.18846723199,0.000201057685509481,0.0312365590665982
"17",2015,2,13102.7794676362,"Subalpine forest",800760.797027474,26508.5319172822,41186.3641255405,0.0163629132648294,0.318133919947328
"18",2016,2,1791.67549875291,"Subalpine forest",800760.797027474,26508.5319172822,10058.4227727627,0.00223746655106473,0.178126883233086
"19",2017,2,0,"Subalpine forest",800760.797027474,26508.5319172822,25.4717382660547,0,0
"20",2018,2,22.8894960549533,"Subalpine forest",800760.797027474,26508.5319172822,451.448197759864,2.85846861383849e-05,0.050702375529537
"21",2019,2,27.9943585334996,"Subalpine forest",800760.797027474,26508.5319172822,136.978254435066,3.49597016205316e-05,0.204370822572938
"22",2020,2,1.41351389787272,"Subalpine forest",800760.797027474,26508.5319172822,88.3472770584689,1.7652136607085e-06,0.0159995185469864
"23",2021,2,2248.3192379363,"Subalpine forest",800760.797027474,26508.5319172822,16986.7653409727,0.00280772890766175,0.132357114071227
"24",2022,2,1571.53358279026,"Subalpine forest",800760.797027474,26508.5319172822,6940.11393489409,0.00196255060015924,0.226442043680115
"25",1999,3,227.093229496096,"Wet forest",321593.023658615,17719.4028562416,9730.53514245129,0.000706150982109504,0.0233382055736441
"26",2000,3,0,"Wet forest",321593.023658615,17719.4028562416,991.507207091774,0,0
"27",2001,3,0,"Wet forest",321593.023658615,17719.4028562416,17.0233689489065,0,0
"28",2002,3,2115.78673713415,"Wet forest",321593.023658615,17719.4028562416,7110.35944678443,0.00657908157665805,0.297563963252377
"29",2003,3,0,"Wet forest",321593.023658615,17719.4028562416,167.011017713672,0,0
"30",2004,3,0,"Wet forest",321593.023658615,17719.4028562416,1657.21981350995,0,0
"31",2005,3,0,"Wet forest",321593.023658615,17719.4028562416,1132.12768351955,0,0
"32",2006,3,0,"Wet forest",321593.023658615,17719.4028562416,5845.34100615013,0,0
"33",2007,3,0,"Wet forest",321593.023658615,17719.4028562416,23.2092569547019,0,0
"34",2008,3,376.685325292104,"Wet forest",321593.023658615,17719.4028562416,6853.09347829846,0.00117131062423783,0.0549657357637022
"35",2009,3,0,"Wet forest",321593.023658615,17719.4028562416,2613.06144766781,0,0
"36",2010,3,0,"Wet forest",321593.023658615,17719.4028562416,36.5082640343808,0,0
"37",2011,3,0,"Wet forest",321593.023658615,17719.4028562416,985.120641628406,0,0
"38",2012,3,0,"Wet forest",321593.023658615,17719.4028562416,3992.96274202192,0,0
"39",2013,3,7.83001786367733,"Wet forest",321593.023658615,17719.4028562416,142.424305083999,2.43475986344444e-05,0.0549766969834211
"40",2014,3,0,"Wet forest",321593.023658615,17719.4028562416,5154.18846723199,0,0
"41",2015,3,11426.389111269,"Wet forest",321593.023658615,17719.4028562416,41186.3641255405,0.035530587639235,0.27743136239072
"42",2016,3,447.941941847585,"Wet forest",321593.023658615,17719.4028562416,10058.4227727627,0.00139288451208163,0.0445340141260091
"43",2017,3,0,"Wet forest",321593.023658615,17719.4028562416,25.4717382660547,0,0
"44",2018,3,0,"Wet forest",321593.023658615,17719.4028562416,451.448197759864,0,0
"45",2019,3,37.2969568401723,"Wet forest",321593.023658615,17719.4028562416,136.978254435066,0.00011597564031664,0.272283779596949
"46",2020,3,0,"Wet forest",321593.023658615,17719.4028562416,88.3472770584689,0,0
"47",2021,3,737.596630001229,"Wet forest",321593.023658615,17719.4028562416,16986.7653409727,0.00229357161299687,0.0434218413685929
"48",2022,3,2652.17175720194,"Wet forest",321593.023658615,17719.4028562416,6940.11393489409,0.00824698162612301,0.382151039893902
"49",1999,4,213.173440596884,"Dry forest",260568.48743792,18669.6787399219,9730.53514245129,0.000818109061049342,0.0219076790203321
"50",2000,4,128.71050595948,"Dry forest",260568.48743792,18669.6787399219,991.507207091774,0.000493960368059261,0.129812980721548
"51",2001,4,0,"Dry forest",260568.48743792,18669.6787399219,17.0233689489065,0,0
"52",2002,4,1125.42910125509,"Dry forest",260568.48743792,18669.6787399219,7110.35944678443,0.00431912973176859,0.15828019802347
"53",2003,4,0,"Dry forest",260568.48743792,18669.6787399219,167.011017713672,0,0
"54",2004,4,252.780217802464,"Dry forest",260568.48743792,18669.6787399219,1657.21981350995,0.000970110469949627,0.152532703110206
"55",2005,4,58.4245998872998,"Dry forest",260568.48743792,18669.6787399219,1132.12768351955,0.000224219745302929,0.051606016474811
"56",2006,4,805.539763068217,"Dry forest",260568.48743792,18669.6787399219,5845.34100615013,0.00309147038841424,0.137808857040278
"57",2007,4,23.2092569547019,"Dry forest",260568.48743792,18669.6787399219,23.2092569547019,8.90716186861677e-05,1
"58",2008,4,321.081489614395,"Dry forest",260568.48743792,18669.6787399219,6853.09347829846,0.00123223453753552,0.0468520516510035
"59",2009,4,93.9139464478709,"Dry forest",260568.48743792,18669.6787399219,2613.06144766781,0.000360419432799777,0.0359401982420622
"60",2010,4,0,"Dry forest",260568.48743792,18669.6787399219,36.5082640343808,0,0
"61",2011,4,728.767815714936,"Dry forest",260568.48743792,18669.6787399219,985.120641628406,0.00279683787890339,0.739775195970193
"62",2012,4,3495.70908597785,"Dry forest",260568.48743792,18669.6787399219,3992.96274202192,0.0134157016466187,0.875467494146395
"63",2013,4,59.8602491538212,"Dry forest",260568.48743792,18669.6787399219,142.424305083999,0.000229729426387689,0.420295181489682
"64",2014,4,1742.45359211808,"Dry forest",260568.48743792,18669.6787399219,5154.18846723199,0.00668712325596631,0.338065556429653
"65",2015,4,6401.52086085879,"Dry forest",260568.48743792,18669.6787399219,41186.3641255405,0.0245675174454238,0.155428161644622
"66",2016,4,454.303321939757,"Dry forest",260568.48743792,18669.6787399219,10058.4227727627,0.00174350830527039,0.0451664572272673
"67",2017,4,0,"Dry forest",260568.48743792,18669.6787399219,25.4717382660547,0,0
"68",2018,4,0,"Dry forest",260568.48743792,18669.6787399219,451.448197759864,0,0
"69",2019,4,36.4365146490712,"Dry forest",260568.48743792,18669.6787399219,136.978254435066,0.000139834693777973,0.266002182604421
"70",2020,4,15.8285799767013,"Dry forest",260568.48743792,18669.6787399219,88.3472770584689,6.07463324991378e-05,0.179163189899173
"71",2021,4,1974.93243822549,"Dry forest",260568.48743792,18669.6787399219,16986.7653409727,0.0075793218805709,0.116263008205681
"72",2022,4,139.19448619887,"Dry forest",260568.48743792,18669.6787399219,6940.11393489409,0.000534195395488999,0.0200565131213504
"73",1999,5,3927.68842491581,"Shrubland",437423.483393245,38561.625504816,9730.53514245129,0.00897914395095429,0.403645674920851
"74",2000,5,645.999779149422,"Shrubland",437423.483393245,38561.625504816,991.507207091774,0.00147682921396487,0.651533114967694
"75",2001,5,17.0233689489065,"Shrubland",437423.483393245,38561.625504816,17.0233689489065,3.89173640538234e-05,1
"76",2002,5,1129.91473639089,"Shrubland",437423.483393245,38561.625504816,7110.35944678443,0.00258311402859707,0.158911057148015
"77",2003,5,0,"Shrubland",437423.483393245,38561.625504816,167.011017713672,0,0
"78",2004,5,164.633581461605,"Shrubland",437423.483393245,38561.625504816,1657.21981350995,0.00037637115452624,0.0993432374628176
"79",2005,5,682.566218443219,"Shrubland",437423.483393245,38561.625504816,1132.12768351955,0.00156042426700166,0.602905686681258
"80",2006,5,2142.99152796064,"Shrubland",437423.483393245,38561.625504816,5845.34100615013,0.00489912318226885,0.366615313923671
"81",2007,5,0,"Shrubland",437423.483393245,38561.625504816,23.2092569547019,0,0
"82",2008,5,1888.66898909111,"Shrubland",437423.483393245,38561.625504816,6853.09347829846,0.00431771283617435,0.275593641772422
"83",2009,5,1217.27611027626,"Shrubland",437423.483393245,38561.625504816,2613.06144766781,0.00278283209861855,0.465842895260919
"84",2010,5,36.5082640343808,"Shrubland",437423.483393245,38561.625504816,36.5082640343808,8.34620577550469e-05,1
"85",2011,5,60.8798377472085,"Shrubland",437423.483393245,38561.625504816,985.120641628406,0.000139178256446002,0.0617993727616691
"86",2012,5,202.377188384291,"Shrubland",437423.483393245,38561.625504816,3992.96274202192,0.000462657347096185,0.0506834652511215
"87",2013,5,29.9306197038727,"Shrubland",437423.483393245,38561.625504816,142.424305083999,6.84248122018748e-05,0.210151067166663
"88",2014,5,2345.93225026133,"Shrubland",437423.483393245,38561.625504816,5154.18846723199,0.00536306883220609,0.455150653720894
"89",2015,5,8401.85001777419,"Shrubland",437423.483393245,38561.625504816,41186.3641255405,0.0192075879250884,0.203995914574164
"90",2016,5,5837.99303518907,"Shrubland",437423.483393245,38561.625504816,10058.4227727627,0.0133463182861188,0.580408396731726
"91",2017,5,0,"Shrubland",437423.483393245,38561.625504816,25.4717382660547,0,0
"92",2018,5,392.1402408788,"Shrubland",437423.483393245,38561.625504816,451.448197759864,0.000896477340075189,0.868627326068956
"93",2019,5,23.4231671756193,"Shrubland",437423.483393245,38561.625504816,136.978254435066,5.35480331186559e-05,0.170999165321697
"94",2020,5,56.7739605969728,"Shrubland",437423.483393245,38561.625504816,88.3472770584689,0.000129791752734804,0.642622642001738
"95",2021,5,6506.80424033477,"Shrubland",437423.483393245,38561.625504816,16986.7653409727,0.014875297023057,0.38305139970587
"96",2022,5,2577.21410870302,"Shrubland",437423.483393245,38561.625504816,6940.11393489409,0.00589180555353517,0.371350403304632
"97",1999,6,3591.71411067367,"Steppe and grassland",342990.30319449,17978.0655820578,9730.53514245129,0.0104717657532056,0.369117839676067
"98",2000,6,0,"Steppe and grassland",342990.30319449,17978.0655820578,991.507207091774,0,0
"99",2001,6,0,"Steppe and grassland",342990.30319449,17978.0655820578,17.0233689489065,0,0
"100",2002,6,294.474375681153,"Steppe and grassland",342990.30319449,17978.0655820578,7110.35944678443,0.000858550148323504,0.0414148367441994
"101",2003,6,55.6610399847446,"Steppe and grassland",342990.30319449,17978.0655820578,167.011017713672,0.000162281672299005,0.33327765285624
"102",2004,6,1023.15430076761,"Steppe and grassland",342990.30319449,17978.0655820578,1657.21981350995,0.00298304147737797,0.617392027555232
"103",2005,6,391.136865189036,"Steppe and grassland",342990.30319449,17978.0655820578,1132.12768351955,0.00114037295383026,0.345488296843931
"104",2006,6,2726.2261138302,"Steppe and grassland",342990.30319449,17978.0655820578,5845.34100615013,0.0079484057958464,0.466392997596175
"105",2007,6,0,"Steppe and grassland",342990.30319449,17978.0655820578,23.2092569547019,0,0
"106",2008,6,2232.75968625273,"Steppe and grassland",342990.30319449,17978.0655820578,6853.09347829846,0.00650968749103866,0.325803185572057
"107",2009,6,578.47092374002,"Steppe and grassland",342990.30319449,17978.0655820578,2613.06144766781,0.00168655183062713,0.221376701361659
"108",2010,6,0,"Steppe and grassland",342990.30319449,17978.0655820578,36.5082640343808,0,0
"109",2011,6,3.50147696465293,"Steppe and grassland",342990.30319449,17978.0655820578,985.120641628406,1.02086762571461e-05,0.00355436361465839
"110",2012,6,82.5958936184087,"Steppe and grassland",342990.30319449,17978.0655820578,3992.96274202192,0.000240811162441445,0.0206853654678943
"111",2013,6,13.6007192018603,"Steppe and grassland",342990.30319449,17978.0655820578,142.424305083999,3.96533635942125e-05,0.0954943694044277
"112",2014,6,903.725871667991,"Steppe and grassland",342990.30319449,17978.0655820578,5154.18846723199,0.0026348437936904,0.175338150208025
"113",2015,6,1810.6793145642,"Steppe and grassland",342990.30319449,17978.0655820578,41186.3641255405,0.00527909768206324,0.0439630774167162
"114",2016,6,1077.79860778493,"Steppe and grassland",342990.30319449,17978.0655820578,10058.4227727627,0.00314235882981733,0.107153838343673
"115",2017,6,25.4717382660547,"Steppe and grassland",342990.30319449,17978.0655820578,25.4717382660547,7.42637270757219e-05,1
"116",2018,6,36.4184608261109,"Steppe and grassland",342990.30319449,17978.0655820578,451.448197759864,0.000106179272378613,0.0806702984015072
"117",2019,6,0,"Steppe and grassland",342990.30319449,17978.0655820578,136.978254435066,0,0
"118",2020,6,14.3312225869221,"Steppe and grassland",342990.30319449,17978.0655820578,88.3472770584689,4.17831712834042e-05,0.162214649552103
"119",2021,6,4414.2819302967,"Steppe and grassland",342990.30319449,17978.0655820578,16986.7653409727,0.012869990460907,0.259865951032436
"120",2022,6,0,"Steppe and grassland",342990.30319449,17978.0655820578,6940.11393489409,0,0
"121",1999,7,3.89750812216592,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,9730.53514245129,8.92668579217002e-05,0.000400544067218082
"122",2000,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,991.507207091774,0,0
"123",2001,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,17.0233689489065,0,0
"124",2002,7,38.3960518120198,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,7110.35944678443,0.000879406737439482,0.00540001558281051
"125",2003,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,167.011017713672,0,0
"126",2004,7,0.444878359900519,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,1657.21981350995,1.01893035500871e-05,0.000268448612714978
"127",2005,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,1132.12768351955,0,0
"128",2006,7,60.8222999906548,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,5845.34100615013,0.00139304792743308,0.0104052612031806
"129",2007,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,23.2092569547019,0,0
"130",2008,7,49.2636038376726,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,6853.09347829846,0.00112831249779272,0.00718852062848326
"131",2009,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,2613.06144766781,0,0
"132",2010,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,36.5082640343808,0,0
"133",2011,7,71.5988678366542,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,985.120641628406,0.00163986982507618,0.0726803041283362
"134",2012,7,125.555550358225,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,3992.96274202192,0.00287567058843743,0.0314442078401782
"135",2013,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,142.424305083999,0,0
"136",2014,7,1.07764068751583,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,5154.18846723199,2.46818210835851e-05,0.000209080574830933
"137",2015,7,39.392215531855,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,41186.3641255405,0.000902222444926927,0.000956438286511119
"138",2016,7,448.710367248427,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,10058.4227727627,0.0102770702063091,0.0446104103382386
"139",2017,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,25.4717382660547,0,0
"140",2018,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,451.448197759864,0,0
"141",2019,7,11.8272572367036,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,136.978254435066,0.000270886437759494,0.086344049903996
"142",2020,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,88.3472770584689,0,0
"143",2021,7,549.531981865208,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,16986.7653409727,0.0125862453164898,0.0323505959395175
"144",2022,7,0,"Anthropogenic prairie and shrubland",43661.3118564629,1239.7414952603,6940.11393489409,0,0
"145",1999,8,0,"Plantation",9401.88032582934,1200.84758277557,9730.53514245129,0,0
"146",2000,8,0,"Plantation",9401.88032582934,1200.84758277557,991.507207091774,0,0
"147",2001,8,0,"Plantation",9401.88032582934,1200.84758277557,17.0233689489065,0,0
"148",2002,8,44.8889982622044,"Plantation",9401.88032582934,1200.84758277557,7110.35944678443,0.00477447028748951,0.00631318270168534
"149",2003,8,101.410407035728,"Plantation",9401.88032582934,1200.84758277557,167.011017713672,0.0107861835634227,0.607207886186218
"150",2004,8,0,"Plantation",9401.88032582934,1200.84758277557,1657.21981350995,0,0
"151",2005,8,0,"Plantation",9401.88032582934,1200.84758277557,1132.12768351955,0,0
"152",2006,8,109.76130130042,"Plantation",9401.88032582934,1200.84758277557,5845.34100615013,0.0116743988964503,0.0187775702366954
"153",2007,8,0,"Plantation",9401.88032582934,1200.84758277557,23.2092569547019,0,0
"154",2008,8,0,"Plantation",9401.88032582934,1200.84758277557,6853.09347829846,0,0
"155",2009,8,627.168722937577,"Plantation",9401.88032582934,1200.84758277557,2613.06144766781,0.0667067332493678,0.240013002180769
"156",2010,8,0,"Plantation",9401.88032582934,1200.84758277557,36.5082640343808,0,0
"157",2011,8,120.372643364954,"Plantation",9401.88032582934,1200.84758277557,985.120641628406,0.0128030393063247,0.122190763525143
"158",2012,8,0,"Plantation",9401.88032582934,1200.84758277557,3992.96274202192,0,0
"159",2013,8,0,"Plantation",9401.88032582934,1200.84758277557,142.424305083999,0,0
"160",2014,8,0,"Plantation",9401.88032582934,1200.84758277557,5154.18846723199,0,0
"161",2015,8,3.75313790630039,"Plantation",9401.88032582934,1200.84758277557,41186.3641255405,0.000399190138167317,9.1125739938112e-05
"162",2016,8,0,"Plantation",9401.88032582934,1200.84758277557,10058.4227727627,0,0
"163",2017,8,0,"Plantation",9401.88032582934,1200.84758277557,25.4717382660547,0,0
"164",2018,8,0,"Plantation",9401.88032582934,1200.84758277557,451.448197759864,0,0
"165",2019,8,0,"Plantation",9401.88032582934,1200.84758277557,136.978254435066,0,0
"166",2020,8,0,"Plantation",9401.88032582934,1200.84758277557,88.3472770584689,0,0
"167",2021,8,555.298882313027,"Plantation",9401.88032582934,1200.84758277557,16986.7653409727,0.0590625346280446,0.0326900896766746
"168",2022,8,0,"Plantation",9401.88032582934,1200.84758277557,6940.11393489409,0,0
